"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 10:03:33 GMT 2023","Sun Apr 09 10:03:34 GMT 2023","1160","","testplaywright","","","","test_nonmatchingsnapshot_element[chromium]",""
"passed","Sun Apr 09 10:03:36 GMT 2023","Sun Apr 09 10:03:36 GMT 2023","0","","testplaywright","","","","test_matchingsnapshot_multi[chromium]",""
"failed","Sun Apr 09 10:02:47 GMT 2023","Sun Apr 09 10:03:07 GMT 2023","19631","","testplaywright","","","","test_matchingsnapshot[chromium]",""
"passed","Sun Apr 09 10:03:35 GMT 2023","Sun Apr 09 10:03:35 GMT 2023","0","","testplaywright","","","","test_updatesnapshot_multi[chromium]",""
"failed","Sun Apr 09 10:03:31 GMT 2023","Sun Apr 09 10:03:33 GMT 2023","1514","","testplaywright","","","","test_matchingsnapshot_element[chromium]",""
"passed","Sun Apr 09 10:03:07 GMT 2023","Sun Apr 09 10:03:28 GMT 2023","20938","","testplaywright","","","","test_nonmatchingsnapshot[chromium]",""
"passed","Sun Apr 09 10:03:28 GMT 2023","Sun Apr 09 10:03:29 GMT 2023","1097","","testplaywright","","","","test_goldensnapshot_element[chromium]",""
"passed","Sun Apr 09 10:02:43 GMT 2023","Sun Apr 09 10:02:45 GMT 2023","1382","","testplaywright","","","","test_goldensnapshot[chromium]",""
"passed","Sun Apr 09 10:03:36 GMT 2023","Sun Apr 09 10:03:36 GMT 2023","1","","testplaywright","","","","test_nonmatchingsnapshot_multi[chromium]",""
"passed","Sun Apr 09 10:03:35 GMT 2023","Sun Apr 09 10:03:35 GMT 2023","0","","testplaywright","","","","test_goldensnapshot_multi[chromium]",""
"passed","Sun Apr 09 10:02:45 GMT 2023","Sun Apr 09 10:02:46 GMT 2023","1355","","testplaywright","","","","test_updatesnapshot[chromium]",""
"passed","Sun Apr 09 10:03:30 GMT 2023","Sun Apr 09 10:03:31 GMT 2023","1153","","testplaywright","","","","test_updatesnapshot_element[chromium]",""
