"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 04:40:48 GMT 2023","Sat Apr 08 04:40:48 GMT 2023","1","","testplaywright","","","","test_matchingsnapshot_multi[chromium]",""
"failed","Sat Apr 08 04:40:43 GMT 2023","Sat Apr 08 04:40:44 GMT 2023","1291","","testplaywright","","","","test_matchingsnapshot_element[chromium]",""
"passed","Sat Apr 08 04:40:41 GMT 2023","Sat Apr 08 04:40:42 GMT 2023","1106","","testplaywright","","","","test_updatesnapshot_element[chromium]",""
"passed","Sat Apr 08 04:40:48 GMT 2023","Sat Apr 08 04:40:48 GMT 2023","0","","testplaywright","","","","test_nonmatchingsnapshot_multi[chromium]",""
"passed","Sat Apr 08 04:40:47 GMT 2023","Sat Apr 08 04:40:47 GMT 2023","1","","testplaywright","","","","test_updatesnapshot_multi[chromium]",""
"failed","Sat Apr 08 04:40:34 GMT 2023","Sat Apr 08 04:40:35 GMT 2023","1545","","testplaywright","","","","test_matchingsnapshot[chromium]",""
"passed","Sat Apr 08 04:40:32 GMT 2023","Sat Apr 08 04:40:33 GMT 2023","1465","","testplaywright","","","","test_updatesnapshot[chromium]",""
"passed","Sat Apr 08 04:40:44 GMT 2023","Sat Apr 08 04:40:46 GMT 2023","1407","","testplaywright","","","","test_nonmatchingsnapshot_element[chromium]",""
"passed","Sat Apr 08 04:40:36 GMT 2023","Sat Apr 08 04:40:39 GMT 2023","2763","","testplaywright","","","","test_nonmatchingsnapshot[chromium]",""
"broken","Sat Apr 08 04:40:39 GMT 2023","Sat Apr 08 04:40:40 GMT 2023","1131","","testplaywright","","","","test_goldensnapshot_element[chromium]",""
"passed","Sat Apr 08 04:40:47 GMT 2023","Sat Apr 08 04:40:47 GMT 2023","1","","testplaywright","","","","test_goldensnapshot_multi[chromium]",""
"broken","Sat Apr 08 04:40:30 GMT 2023","Sat Apr 08 04:40:31 GMT 2023","1420","","testplaywright","","","","test_goldensnapshot[chromium]",""
