"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 09:38:56 GMT 2023","Sun Apr 09 09:38:56 GMT 2023","0","","testplaywright","","","","test_updatesnapshot_multi[chromium]",""
"passed","Sun Apr 09 09:38:54 GMT 2023","Sun Apr 09 09:38:55 GMT 2023","1191","","testplaywright","","","","test_nonmatchingsnapshot_element[chromium]",""
"failed","Sun Apr 09 09:38:52 GMT 2023","Sun Apr 09 09:38:53 GMT 2023","1328","","testplaywright","","","","test_matchingsnapshot_element[chromium]",""
"broken","Sun Apr 09 09:38:47 GMT 2023","Sun Apr 09 09:38:49 GMT 2023","1377","","testplaywright","","","","test_goldensnapshot_element[chromium]",""
"failed","Sun Apr 09 09:38:42 GMT 2023","Sun Apr 09 09:38:44 GMT 2023","1464","","testplaywright","","","","test_matchingsnapshot[chromium]",""
"passed","Sun Apr 09 09:38:50 GMT 2023","Sun Apr 09 09:38:51 GMT 2023","1263","","testplaywright","","","","test_updatesnapshot_element[chromium]",""
"broken","Sun Apr 09 09:38:36 GMT 2023","Sun Apr 09 09:38:38 GMT 2023","2058","","testplaywright","","","","test_goldensnapshot[chromium]",""
"passed","Sun Apr 09 09:38:39 GMT 2023","Sun Apr 09 09:38:41 GMT 2023","2258","","testplaywright","","","","test_updatesnapshot[chromium]",""
"passed","Sun Apr 09 09:38:57 GMT 2023","Sun Apr 09 09:38:57 GMT 2023","0","","testplaywright","","","","test_matchingsnapshot_multi[chromium]",""
"passed","Sun Apr 09 09:38:56 GMT 2023","Sun Apr 09 09:38:56 GMT 2023","0","","testplaywright","","","","test_goldensnapshot_multi[chromium]",""
"passed","Sun Apr 09 09:38:57 GMT 2023","Sun Apr 09 09:38:57 GMT 2023","1","","testplaywright","","","","test_nonmatchingsnapshot_multi[chromium]",""
"passed","Sun Apr 09 09:38:44 GMT 2023","Sun Apr 09 09:38:47 GMT 2023","2562","","testplaywright","","","","test_nonmatchingsnapshot[chromium]",""
