"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Apr 08 06:02:19 GMT 2023","Sat Apr 08 06:02:20 GMT 2023","1444","","testplaywright","","","","test_matchingsnapshot_element[chromium]",""
"passed","Sat Apr 08 06:02:12 GMT 2023","Sat Apr 08 06:02:15 GMT 2023","2932","","testplaywright","","","","test_nonmatchingsnapshot[chromium]",""
"passed","Sat Apr 08 06:02:24 GMT 2023","Sat Apr 08 06:02:24 GMT 2023","0","","testplaywright","","","","test_nonmatchingsnapshot_multi[chromium]",""
"broken","Sat Apr 08 06:02:06 GMT 2023","Sat Apr 08 06:02:07 GMT 2023","1574","","testplaywright","","","","test_goldensnapshot[chromium]",""
"passed","Sat Apr 08 06:02:21 GMT 2023","Sat Apr 08 06:02:22 GMT 2023","1364","","testplaywright","","","","test_nonmatchingsnapshot_element[chromium]",""
"passed","Sat Apr 08 06:02:23 GMT 2023","Sat Apr 08 06:02:23 GMT 2023","0","","testplaywright","","","","test_goldensnapshot_multi[chromium]",""
"failed","Sat Apr 08 06:02:10 GMT 2023","Sat Apr 08 06:02:11 GMT 2023","1511","","testplaywright","","","","test_matchingsnapshot[chromium]",""
"passed","Sat Apr 08 06:02:23 GMT 2023","Sat Apr 08 06:02:23 GMT 2023","0","","testplaywright","","","","test_updatesnapshot_multi[chromium]",""
"passed","Sat Apr 08 06:02:17 GMT 2023","Sat Apr 08 06:02:18 GMT 2023","1380","","testplaywright","","","","test_updatesnapshot_element[chromium]",""
"broken","Sat Apr 08 06:02:15 GMT 2023","Sat Apr 08 06:02:17 GMT 2023","1252","","testplaywright","","","","test_goldensnapshot_element[chromium]",""
"passed","Sat Apr 08 06:02:24 GMT 2023","Sat Apr 08 06:02:24 GMT 2023","0","","testplaywright","","","","test_matchingsnapshot_multi[chromium]",""
"passed","Sat Apr 08 06:02:08 GMT 2023","Sat Apr 08 06:02:09 GMT 2023","1368","","testplaywright","","","","test_updatesnapshot[chromium]",""
