"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 08:32:29 GMT 2023","Sun Apr 09 08:32:29 GMT 2023","1","","testplaywright","","","","test_goldensnapshot_multi[chromium]",""
"passed","Sun Apr 09 08:32:17 GMT 2023","Sun Apr 09 08:32:21 GMT 2023","3142","","testplaywright","","","","test_nonmatchingsnapshot[chromium]",""
"passed","Sun Apr 09 08:32:30 GMT 2023","Sun Apr 09 08:32:30 GMT 2023","1","","testplaywright","","","","test_matchingsnapshot_multi[chromium]",""
"passed","Sun Apr 09 08:32:23 GMT 2023","Sun Apr 09 08:32:24 GMT 2023","1348","","testplaywright","","","","test_updatesnapshot_element[chromium]",""
"failed","Sun Apr 09 08:32:25 GMT 2023","Sun Apr 09 08:32:26 GMT 2023","1409","","testplaywright","","","","test_matchingsnapshot_element[chromium]",""
"passed","Sun Apr 09 08:32:29 GMT 2023","Sun Apr 09 08:32:29 GMT 2023","1","","testplaywright","","","","test_updatesnapshot_multi[chromium]",""
"passed","Sun Apr 09 08:32:27 GMT 2023","Sun Apr 09 08:32:28 GMT 2023","1474","","testplaywright","","","","test_nonmatchingsnapshot_element[chromium]",""
"failed","Sun Apr 09 08:32:16 GMT 2023","Sun Apr 09 08:32:17 GMT 2023","1476","","testplaywright","","","","test_matchingsnapshot[chromium]",""
"passed","Sun Apr 09 08:32:30 GMT 2023","Sun Apr 09 08:32:30 GMT 2023","1","","testplaywright","","","","test_nonmatchingsnapshot_multi[chromium]",""
"broken","Sun Apr 09 08:32:11 GMT 2023","Sun Apr 09 08:32:13 GMT 2023","1660","","testplaywright","","","","test_goldensnapshot[chromium]",""
"passed","Sun Apr 09 08:32:13 GMT 2023","Sun Apr 09 08:32:15 GMT 2023","1696","","testplaywright","","","","test_updatesnapshot[chromium]",""
"broken","Sun Apr 09 08:32:21 GMT 2023","Sun Apr 09 08:32:22 GMT 2023","1174","","testplaywright","","","","test_goldensnapshot_element[chromium]",""
