"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 05:27:58 GMT 2023","Sun Apr 09 05:27:58 GMT 2023","0","","testplaywright","","","","test_nonmatchingsnapshot_multi[chromium]",""
"passed","Sun Apr 09 05:27:45 GMT 2023","Sun Apr 09 05:27:48 GMT 2023","2852","","testplaywright","","","","test_nonmatchingsnapshot[chromium]",""
"passed","Sun Apr 09 05:27:58 GMT 2023","Sun Apr 09 05:27:58 GMT 2023","0","","testplaywright","","","","test_matchingsnapshot_multi[chromium]",""
"passed","Sun Apr 09 05:27:41 GMT 2023","Sun Apr 09 05:27:43 GMT 2023","1399","","testplaywright","","","","test_updatesnapshot[chromium]",""
"failed","Sun Apr 09 05:27:53 GMT 2023","Sun Apr 09 05:27:54 GMT 2023","1448","","testplaywright","","","","test_matchingsnapshot_element[chromium]",""
"passed","Sun Apr 09 05:27:57 GMT 2023","Sun Apr 09 05:27:57 GMT 2023","1","","testplaywright","","","","test_updatesnapshot_multi[chromium]",""
"broken","Sun Apr 09 05:27:48 GMT 2023","Sun Apr 09 05:27:50 GMT 2023","1546","","testplaywright","","","","test_goldensnapshot_element[chromium]",""
"broken","Sun Apr 09 05:27:39 GMT 2023","Sun Apr 09 05:27:41 GMT 2023","1324","","testplaywright","","","","test_goldensnapshot[chromium]",""
"passed","Sun Apr 09 05:27:51 GMT 2023","Sun Apr 09 05:27:52 GMT 2023","1435","","testplaywright","","","","test_updatesnapshot_element[chromium]",""
"failed","Sun Apr 09 05:27:43 GMT 2023","Sun Apr 09 05:27:45 GMT 2023","1398","","testplaywright","","","","test_matchingsnapshot[chromium]",""
"passed","Sun Apr 09 05:27:55 GMT 2023","Sun Apr 09 05:27:56 GMT 2023","1655","","testplaywright","","","","test_nonmatchingsnapshot_element[chromium]",""
"passed","Sun Apr 09 05:27:57 GMT 2023","Sun Apr 09 05:27:57 GMT 2023","0","","testplaywright","","","","test_goldensnapshot_multi[chromium]",""
