"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 15:21:19 GMT 2023","Sun Apr 09 15:21:21 GMT 2023","1520","","testplaywright","","","","test_goldensnapshot[chromium]",""
"passed","Sun Apr 09 15:21:59 GMT 2023","Sun Apr 09 15:21:59 GMT 2023","1","","testplaywright","","","","test_updatesnapshot_multi[chromium]",""
"passed","Sun Apr 09 15:22:00 GMT 2023","Sun Apr 09 15:22:00 GMT 2023","0","","testplaywright","","","","test_matchingsnapshot_multi[chromium]",""
"passed","Sun Apr 09 15:21:54 GMT 2023","Sun Apr 09 15:21:55 GMT 2023","1355","","testplaywright","","","","test_updatesnapshot_element[chromium]",""
"passed","Sun Apr 09 15:21:32 GMT 2023","Sun Apr 09 15:21:52 GMT 2023","19930","","testplaywright","","","","test_nonmatchingsnapshot[chromium]",""
"passed","Sun Apr 09 15:21:57 GMT 2023","Sun Apr 09 15:21:59 GMT 2023","1298","","testplaywright","","","","test_nonmatchingsnapshot_element[chromium]",""
"passed","Sun Apr 09 15:21:21 GMT 2023","Sun Apr 09 15:21:23 GMT 2023","1396","","testplaywright","","","","test_updatesnapshot[chromium]",""
"passed","Sun Apr 09 15:22:00 GMT 2023","Sun Apr 09 15:22:00 GMT 2023","1","","testplaywright","","","","test_nonmatchingsnapshot_multi[chromium]",""
"passed","Sun Apr 09 15:21:56 GMT 2023","Sun Apr 09 15:21:57 GMT 2023","1100","","testplaywright","","","","test_matchingsnapshot_element[chromium]",""
"passed","Sun Apr 09 15:21:59 GMT 2023","Sun Apr 09 15:21:59 GMT 2023","0","","testplaywright","","","","test_goldensnapshot_multi[chromium]",""
"passed","Sun Apr 09 15:21:52 GMT 2023","Sun Apr 09 15:21:53 GMT 2023","1223","","testplaywright","","","","test_goldensnapshot_element[chromium]",""
"passed","Sun Apr 09 15:21:23 GMT 2023","Sun Apr 09 15:21:31 GMT 2023","8026","","testplaywright","","","","test_matchingsnapshot[chromium]",""
