"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 04:08:53 GMT 2023","Sat Apr 08 04:08:53 GMT 2023","0","","testplaywright","","","","test_matchingsnapshot_multi[chromium]",""
"failed","Sat Apr 08 04:08:48 GMT 2023","Sat Apr 08 04:08:49 GMT 2023","1278","","testplaywright","","","","test_matchingsnapshot_element[chromium]",""
"passed","Sat Apr 08 04:08:41 GMT 2023","Sat Apr 08 04:08:44 GMT 2023","2670","","testplaywright","","","","test_nonmatchingsnapshot[chromium]",""
"passed","Sat Apr 08 04:08:52 GMT 2023","Sat Apr 08 04:08:52 GMT 2023","0","","testplaywright","","","","test_goldensnapshot_multi[chromium]",""
"passed","Sat Apr 08 04:08:53 GMT 2023","Sat Apr 08 04:08:53 GMT 2023","1","","testplaywright","","","","test_nonmatchingsnapshot_multi[chromium]",""
"broken","Sat Apr 08 04:08:36 GMT 2023","Sat Apr 08 04:08:37 GMT 2023","1411","","testplaywright","","","","test_goldensnapshot[chromium]",""
"passed","Sat Apr 08 04:08:38 GMT 2023","Sat Apr 08 04:08:39 GMT 2023","1349","","testplaywright","","","","test_updatesnapshot[chromium]",""
"passed","Sat Apr 08 04:08:46 GMT 2023","Sat Apr 08 04:08:48 GMT 2023","1431","","testplaywright","","","","test_updatesnapshot_element[chromium]",""
"failed","Sat Apr 08 04:08:39 GMT 2023","Sat Apr 08 04:08:41 GMT 2023","1403","","testplaywright","","","","test_matchingsnapshot[chromium]",""
"passed","Sat Apr 08 04:08:50 GMT 2023","Sat Apr 08 04:08:51 GMT 2023","1478","","testplaywright","","","","test_nonmatchingsnapshot_element[chromium]",""
"broken","Sat Apr 08 04:08:44 GMT 2023","Sat Apr 08 04:08:46 GMT 2023","1344","","testplaywright","","","","test_goldensnapshot_element[chromium]",""
"passed","Sat Apr 08 04:08:52 GMT 2023","Sat Apr 08 04:08:52 GMT 2023","0","","testplaywright","","","","test_updatesnapshot_multi[chromium]",""
