"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 08:06:17 GMT 2023","Sun Apr 09 08:06:17 GMT 2023","1","","testplaywright","","","","test_nonmatchingsnapshot_multi[chromium]",""
"passed","Sun Apr 09 08:06:09 GMT 2023","Sun Apr 09 08:06:11 GMT 2023","1581","","testplaywright","","","","test_updatesnapshot_element[chromium]",""
"failed","Sun Apr 09 08:06:02 GMT 2023","Sun Apr 09 08:06:03 GMT 2023","1506","","testplaywright","","","","test_matchingsnapshot[chromium]",""
"passed","Sun Apr 09 08:06:13 GMT 2023","Sun Apr 09 08:06:15 GMT 2023","1594","","testplaywright","","","","test_nonmatchingsnapshot_element[chromium]",""
"failed","Sun Apr 09 08:06:11 GMT 2023","Sun Apr 09 08:06:12 GMT 2023","1306","","testplaywright","","","","test_matchingsnapshot_element[chromium]",""
"passed","Sun Apr 09 08:06:00 GMT 2023","Sun Apr 09 08:06:01 GMT 2023","1483","","testplaywright","","","","test_updatesnapshot[chromium]",""
"broken","Sun Apr 09 08:06:07 GMT 2023","Sun Apr 09 08:06:08 GMT 2023","1299","","testplaywright","","","","test_goldensnapshot_element[chromium]",""
"passed","Sun Apr 09 08:06:15 GMT 2023","Sun Apr 09 08:06:15 GMT 2023","1","","testplaywright","","","","test_goldensnapshot_multi[chromium]",""
"passed","Sun Apr 09 08:06:16 GMT 2023","Sun Apr 09 08:06:16 GMT 2023","0","","testplaywright","","","","test_updatesnapshot_multi[chromium]",""
"passed","Sun Apr 09 08:06:04 GMT 2023","Sun Apr 09 08:06:07 GMT 2023","2843","","testplaywright","","","","test_nonmatchingsnapshot[chromium]",""
"broken","Sun Apr 09 08:05:57 GMT 2023","Sun Apr 09 08:05:59 GMT 2023","1700","","testplaywright","","","","test_goldensnapshot[chromium]",""
"passed","Sun Apr 09 08:06:16 GMT 2023","Sun Apr 09 08:06:16 GMT 2023","1","","testplaywright","","","","test_matchingsnapshot_multi[chromium]",""
