"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 07 21:16:51 GMT 2023","Fri Apr 07 21:16:54 GMT 2023","2727","","testplaywright","","","","test_nonmatchingsnapshot[chromium]",""
"broken","Fri Apr 07 21:16:45 GMT 2023","Fri Apr 07 21:16:47 GMT 2023","1514","","testplaywright","","","","test_goldensnapshot[chromium]",""
"passed","Fri Apr 07 21:17:03 GMT 2023","Fri Apr 07 21:17:03 GMT 2023","0","","testplaywright","","","","test_updatesnapshot_multi[chromium]",""
"failed","Fri Apr 07 21:16:59 GMT 2023","Fri Apr 07 21:17:00 GMT 2023","1157","","testplaywright","","","","test_matchingsnapshot_element[chromium]",""
"passed","Fri Apr 07 21:17:02 GMT 2023","Fri Apr 07 21:17:02 GMT 2023","0","","testplaywright","","","","test_goldensnapshot_multi[chromium]",""
"passed","Fri Apr 07 21:16:57 GMT 2023","Fri Apr 07 21:16:58 GMT 2023","1562","","testplaywright","","","","test_updatesnapshot_element[chromium]",""
"failed","Fri Apr 07 21:16:50 GMT 2023","Fri Apr 07 21:16:51 GMT 2023","1359","","testplaywright","","","","test_matchingsnapshot[chromium]",""
"passed","Fri Apr 07 21:17:03 GMT 2023","Fri Apr 07 21:17:03 GMT 2023","1","","testplaywright","","","","test_matchingsnapshot_multi[chromium]",""
"broken","Fri Apr 07 21:16:55 GMT 2023","Fri Apr 07 21:16:56 GMT 2023","1426","","testplaywright","","","","test_goldensnapshot_element[chromium]",""
"passed","Fri Apr 07 21:17:00 GMT 2023","Fri Apr 07 21:17:02 GMT 2023","1304","","testplaywright","","","","test_nonmatchingsnapshot_element[chromium]",""
"passed","Fri Apr 07 21:16:48 GMT 2023","Fri Apr 07 21:16:49 GMT 2023","1373","","testplaywright","","","","test_updatesnapshot[chromium]",""
"passed","Fri Apr 07 21:17:04 GMT 2023","Fri Apr 07 21:17:04 GMT 2023","1","","testplaywright","","","","test_nonmatchingsnapshot_multi[chromium]",""
